Source,Primary ID,Title,Alternative title,Contributor,Abstract,Date,Genre,Topical subject,Name subject,Geographic subject,Title subject,Temporal subject,Language,Type of resource,Place of publication,Publisher,Form,Extent,Notes,Link,Image
LoC,tmp83029911/,"Woman's right to preach the gospel: a sermon, preached at the ordination of the Rev. Miss Antoinette L. Brown, at South Butler, Wayne County, N.Y., Sept. 15, 1853",,"Lee, Luther 1800-1889|Stone, Lucy 1818-1893|Susan B. Anthony Collection (Library of Congress)|National American Woman Suffrage Association Collection (Library of Congress)","This sermon was preached at the ordination of Antoinette L. Brown, on 15 September 1853. Brown was one of the first women to be ordained in the Congregational church.",1853,,Women clergy|Congregational churches|Clergy,"Blackwell, Antoinette Louisa Brown 1825-1921",United States,,,,text,"nyu|Syracuse, N.Y",Published by the Author,print,22 p. ; 21 cm.,statement of responsibility: by Rev. Luther Lee ...|general: Lettered on cover: S.B. Anthony.|general: No. 13 in a collection of pamphlets lettered: Tracts and speeches on woman's rights.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/tmp83029911/,http://cdn.loc.gov/service/rbc/rbnawsa/n9911/001.gif
LoC,37017721/,Woman as God made her: the true woman,,"Fulton, Justin D. (Justin Dewey) 1828-1901|Fulton, Justin D. (Justin Dewey) 1828-1901|National American Woman Suffrage Association Collection (Library of Congress)","Justin D. Fulton was pastor of the Union Temple Baptist Church in Boston, Massachusetts. His pamphlet employs traditional arguments from scripture as evidence for why women should not be enfranchised.",1869,,Women|Social and moral questions|Women|Religious aspects|Christianity|Husband and wife|Women's rights|Women|Suffrage,,,,,,text,mau|Boston,Lee and Shepard,print,"xii, 262 p. ; front. (port.) ; 20 cm.","statement of responsibility: by J.D. Fulton.|general: ""To which is added Woman vs. ballot.""|additional physical form: Also available in digital form on the Library of Congress Web site, and on microfilm (Microfilm 13619 HQ).",https://www.loc.gov/item/37017721/,http://cdn.loc.gov/service/rbc/rbnawsa/n7721/001.gif
LoC,24029000/,"A sermon of the public function of woman: preached at the Music Hall, March 27, 1853",,"Parker, Theodore 1810-1860|Yerrinton, J. M. W. (James Manning Winchell) -1893|Leighton, Rufus.|Stone, Lucy 1818-1893|Miscellaneous Pamphlet Collection (Library of Congress)|National American Woman Suffrage Association Collection (Library of Congress)","This sermon was one of a long series of sermons delivered by Parker on the ""spiritual development of the human race."" In one section containing four sermons devoted to women, Parker argues that women were prevented from voting primarily by the efforts of men.",1853,,Women,,,,,,text,mau|Boston,Robert F. Wallcut,print,20 p. ; 23 cm.,"statement of responsibility: by Theodore Parker, minister of the Twenty-Eighth Congregational Society ; phonographically reported by J.M.W. Yerrinton and Rufus Leighton.|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/24029000/,http://cdn.loc.gov/service/rbc/rbnawsa/n9000/001.gif
LoC,15007485/,American women in civic work,,"Bennett, Helen Christine.|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","Each woman included in this book attained some level of prominence in politics, education, or social reform.",1915,biography,Women in public life,,United States,,,,text,nyu|New York,"Dodd, Mead and Company",print,"vi,  3 l., 3-277 p. : ports. (incl. front.) ; 20 cm.","statement of responsibility: by Helen Christine Bennett ; with portraits.|general: ""Portions of the sketches which appear in this book have been published serially, principally in the Pictorial review and the American magazine.""|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/15007485/,http://cdn.loc.gov/service/rbc/rbnawsa/n7485/001.gif
LoC,29012783/,Toward equal rights for men and women,,"Smith, Ethel Marion 1877-1951|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","The author of this book, which includes a brief introduction by Sophonisba Breckenridge, maintains that an Equal Rights Amendment, such as the one then being proposed by Alice Paul and the Woman's Party, would lead to chaos and confusion. She argues that absolute equality with men would strip away certain forms of protective legislation from which certain groups of women benefit.",1929,,"Women|Legal status, laws, etc|Women's rights",,United States|United States,,,,text,"dcu|Washington, D.C","Published by the Committee on the Legal Status of Women, National League of Women Voters",print,139 p. ; 23 cm.,"statement of responsibility: by Ethel M. Smith.|bibliography: ""General references"": p. 138-139.|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/29012783/,http://cdn.loc.gov/service/rbc/rbnawsa/n2783/001.gif
LoC,33003563/,Laws affecting women and children in the suffrage and non-suffrage states,,"Porritt, Annie G. (Annie Gertrude) 1861-1932|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","This book examines women's legal status in the areas of protective labor legislation for women and children, minimum wage laws, mothers' pensions, the property rights of married women, child custody, age of consent, control of the liquor traffic, and prostitution. Like Jessie Cassidy's ""The legal status of women,"" this volume deals with each of these areas on a state-by-state basis. It includes a black-and-white pinwheel chart showing good and bad legislation affecting women, but few other tables or graphs.",c1917|1917,,"Women|Legal status, laws, etc|Children|Legal status, laws, etc|Women|Suffrage",,United States|United States|United States,,,,text,nyu|New York City,"National Woman Suffrage Publishing Company, Inc.",print,168 p. : illus. ; 24 cm.,"statement of responsibility: by Annie G. Porritt.|general: Part of pages blank for ""Addenda.""|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/33003563/,http://cdn.loc.gov/service/rbc/rbnawsa/n3563/001.gif
LoC,15008748/,"Transactions of the National Council of Women of the United States: assembled in Washington, D.C., February 22 to 25, 1891",,"National Council of Women of the United States Meeting (1st : 1891 : Albaugh's Opera House, Washington, D.C.)|Avery, Rachel Foster 1858-1919|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","The National Council of Women of the United States was founded in 1888 by Susan B. Anthony at the suggestion of Elizabeth Cady Stanton. It was an organization composed of national organizations and affiliated associations all pledged to working for issues concerning women, among them, the right to vote. The organization met triennially at first, later biennially.",1891,conference publication,Women|Societies and clubs,,United States,,,,text,pau|Philadelphia,Printed by J.B. Lippincott Company,print,"1 p.l., 5-372 p. : ports. ; 14 cm.","statement of responsibility: edited by Rachel Foster Avery, corresponding secretary.|general: ""Published by order of the Executive Board of the National Council of Women.""|general: The meeting held in 1891 was the first of the triennial sessions held by the Council. Reports of later meetings are included in its ""Report.""|additional physical form: Also available in digital form on the Library of Congress Web site, and on microfilm (Microfilm 30262 HQ).",https://www.loc.gov/item/15008748/,http://cdn.loc.gov/service/rbc/rbnawsa/n8748/001.gif
LoC,27007548/,"The first convention ever called to discuss the civil and political rights of women, Seneca Falls, N.Y., July 19, 20, 1848",,"Woman's Rights Convention (1848 : Seneca Falls, N.Y.)|Stone, Lucy 1818-1893|National American Woman Suffrage Association Collection (Library of Congress)",,after 1848]|1848 - 1899,conference publication,Women's rights,,United States,,,,text,xxu|S.l,s.n.,print,8 p. ; 22 cm.,"statement of responsibility: Woman's Rights Convention.|general: Caption title.|general: ""This call was published in the Seneca County courier, July 14, 1848, without any signatures. The movers of this convention, who drafted the call, the declaration and resolutions were Elizabeth Cady Stanton, Lucretia Mott, Martha C. Wright, Mary Ann McClintock, and Jane C. Hunt""--Footnote.|general: Includes p. [1] first and closing paragraphs of Mrs. Stanton's address.|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/27007548/,http://cdn.loc.gov/service/rbc/rbnawsa/n7548/001.gif
LoC,86182880/,"The proceedings of the Woman's Rights Convention, held at West Chester, Pa., June 2d and 3d, 1852",,"Woman's Rights Convention (1852 : West Chester, Pa.)|Stone, Lucy 1818-1893|National American Woman Suffrage Association Collection (Library of Congress)|Susan B. Anthony Collection (Library of Congress)","This meeting was presided over by Lucretia Mott, who also addressed the assembly.",1852,conference publication,Women's rights,,United States,,,,text,pau|Philadelphia,"Merrihew and Thompson, Printers",print,38 p. ; 21 cm.,general: Cover title.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/86182880/,http://cdn.loc.gov/service/rbc/rbnawsa/n2880/001.gif
LoC,09002749/,"The rights and condition of women: a sermon, preached in Syracuse, Nov., 1845",,"May, Samuel J. (Samuel Joseph) 1797-1871|Stone, Lucy 1818-1893|National American Woman Suffrage Association Collection (Library of Congress)","Reprint of a sermon delivered by May in Syracuse, New York in November, 1845. It follows the World Anti-Slavery Convention in London in 1840 but precedes the first women's rights convention in America by more than two and a half years.",1853?],,Women's rights,,United States,,,,text,nyu|Syracuse,Lathrop's Print,print,16 p. ; 23 cm.,statement of responsibility: by Samuel J. May.|general: Caption title.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/09002749/,http://cdn.loc.gov/service/rbc/rbnawsa/n2749/001.gif
LoC,09002748/,Discourse on woman,,"Mott, Lucretia 1793-1880|Stone, Lucy 1818-1893|National American Woman Suffrage Association Collection (Library of Congress)","This lecture by Mott, delivered 17 December 1849, was in response to one by an unidentified lecturer criticizing the demand for equal rights for women. She makes a very gentle appeal here for women's enfranchisement, placing emphasis instead on the injustices done to women in marriage.",1850,,Women's rights,,,,,,text,pau|Philadelphia,T.B. Peterson,print,20 p. ; 23 cm.,"statement of responsibility: by Lucretia Mott ; delivered at the Assembly Buildings, December 17, 1849 ; being a full phonographic report, revised by the author.|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/09002748/,http://cdn.loc.gov/service/rbc/rbnawsa/n2748/001.gif
LoC,09002744/,Woman's rights,,"Todd, John 1800-1873|Stone, Lucy 1818-1893|National American Woman Suffrage Association Collection (Library of Congress)","In this pamphlet, clergyman John Todd argues that women are not equal to men because they cannot invent or reason extensively. A good examination of the separate spheres ideology.",1867,,Women's rights,,United States,,,,text,mau|Boston,Lee and Shepard,print,27 p. ; 18 cm.,"statement of responsibility: by Rev. John Todd, D.D. ...|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/09002744/,http://cdn.loc.gov/service/rbc/rbnawsa/n2744/001.gif
LoC,04037023/,The new womanhood,,"Cooley, Winnifred Harper.|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","Winnifred Harper Cooley was the daughter of Ida Husted Harper, one of the authors of the multi-volume ""History of Woman Suffrage."" This book, written during the period of time when Anna Howard Shaw was president of NAWSA, includes some interesting chapters on the potential power of women's clubs and on the argument for woman suffrage.",1904,,Women|Social and moral questions,,,,,,text,nyu|New York,Broadway Publishing Company,print,"3 p.l., 151 p. : front. (port.) ; 20 cm.",statement of responsibility: by Winnifred Harper Cooley.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/04037023/,http://cdn.loc.gov/service/rbc/rbnawsa/n7023/001.gif
LoC,tmp82091485/,"Proceedings at the presentation to the Hon. Robert Dale Owen of a silver pitcher, on behalf of the women of Indiana, on the 28th day of May, 1851",,"Stone, Lucy 1818-1893|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","In 1851, Indiana adopted a state constitution that included a measure protecting the property rights of married women. Robert Dale Owen was the chief architect of this provision and the women of Indiana honored him with a silver pitcher. This pamphlet details the ceremony surrounding this presentation, including speeches by Professor W.C. Larrabee of Indian Asbury University and Robert Dale Owen. What is interesting here is the very narrow way in which the women define their role in society and their prosition vis-a-vis women's rights.",1851,biography,"Women|Legal status, laws, etc","Owen, Robert Dale 1801-1877",,,,,text,"inu|New Albany, Ind","Kent & Norman, Printers",print,28 p. ; 23 cm.,additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/tmp82091485/,http://cdn.loc.gov/service/rbc/rbnawsa/n1485/001.gif
LoC,09008216/,"""And the truth shall make you free"": a speech on the principles of social freedom, delivered in Steinway Hall, Nov. 20, 1871",Speech on the principles of social freedom,"Woodhull, Victoria C. (Victoria Claflin) 1838-1927|Stone, Lucy 1818-1893|National American Woman Suffrage Association Collection (Library of Congress)","This speech defends Woodhull's advocacy of free love or social freedom, which served to create divisions within the women's rights movement and led eventually to her ostracism by some women's rights associations.",1871,,Free love,,,,,,text,nyu|New York,"Woodhull, Claflin & Co.",print,43 p. ; 25 cm.,"statement of responsibility: by Victoria C. Woodhull, to an audience of 3.000 people, to which hundreds found it impossible to obtain admission; which, in consideration of the dreuching rain of the evening, is the best evidence of what subject lies nearest the hearts of the people.|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/09008216/,http://cdn.loc.gov/service/rbc/rbnawsa/n8216/001.gif
LoC,10001898/,"The Whole World's Temperance Convention, held at Metropolitan Hall in the city of New York, on Thursday and Friday, Sept. 1st and 2d, 1853",,"Whole World's Temperance Convention (1853 : New York, N.Y.)|Stone, Lucy 1818-1893|National American Woman Suffrage Association Collection (Library of Congress)","This conference included the expulsion of female delegates, among them Susan B. Anthony, Lucy Stone, and Abby Foster.",1853,conference publication,Temperance,,,,,,text,nyu|New York,"Fowlers and Wells, Publishers",print,"2 p.l., 111 p. ; 23 cm.","general: ""Compiled from the reports of the Tribune, Times, and Herald; principally from the Tribune.""--t.p. verso.|additional physical form: Also available in digital form on the Library of Congress Web site.",https://www.loc.gov/item/10001898/,http://cdn.loc.gov/service/rbc/rbnawsa/n1898/001.gif
LoC,ca00003105/,"Address of Frances E. Willard, president of the Woman's National Council of the United States (founded in 1888), at its first triennial meeting, Albaugh's Opera House, Washington, D.C., February 22-25, 1891",,"Willard, Frances E. (Frances Elizabeth) 1839-1898|Catt, Carrie Chapman 1859-1947|National Council of Women of the United States Meeting (1st : 1891 : Albaugh's Opera House, Washington, D.C.)|National American Woman Suffrage Association Collection (Library of Congress)|YA Pamphlet Collection (Library of Congress)","The National Council of Women of the United States was created in 1888 at the recommendation of Elizabeth Cady Stanton to further the goal of women's rights. It includes interesting information on the ideological differences between Willard and Stanton, as well as a discussion of ""Scientific Motherhood,"" and the worldwide WCTU.",[1891]|1891,,Women's rights|Women and religion,,United States,,,,text,"dcu|Washington, D.C","Rufus H. Darby, Printer",print,38 p. ; 24 cm.,general: Cover title.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/ca00003105/,http://cdn.loc.gov/service/rbc/rbnawsa/n4556/001.gif
LoC,15016027/,"Socialism, feminism, and suffragism: the terrible triplets, connected by the same umbilical cord, and fed from the same nursing bottle",,"Hubbard, Benjamin Vestal 1854-|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","This book equates feminism and woman suffrage with both socialism and atheism. According to the author, feminism and the enfranchisement of women will destroy the family. The book also suggests that pregnant women who vote run the risk of bearing ""physically imperfect or idiotic"" children.",[c1915]|1915,,Women and socialism|Women|Suffrage|Feminism,,,,,,text,ilu|Chicago,American Publishing Company,print,"3 p.l., 9-301 p. ; 20 cm.",statement of responsibility: by B.V. Hubbard.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/15016027/,http://cdn.loc.gov/service/rbc/rbnawsa/n6027/001.gif
LoC,ca11002415/,The Ballot and the bullet,,"Catt, Carrie Chapman 1859-1947|Livermore, D. P. (Daniel Parker) 1818-1899|Chapman, Charles H.|Blackwell, Alice Stone 1857-1950|Davis, John 1826-1901|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association|National American Woman Suffrage Association Collection (Library of Congress)",This is a collection of essays written to refute the argument that women should not be enfranchised because they are incapable of defending their right to vote by military service.,1897,,Women|Suffrage,,,,,,text,pau|Philadelphia,Published for The National American Woman Suffrage Association|Press of Alfred J. Ferris,print,73 p. ; 17 cm.,"statement of responsibility: compiled by Carrie Chapman Catt.|additional physical form: Also available in digital form on the Library of Congress Web site, and on microfilm (Microfilm 32064 JF).",https://www.loc.gov/item/ca11002415/,http://cdn.loc.gov/service/rbc/rbnawsa/n2415/001.gif
LoC,14005853/,"Speeches of George William Curtis, Henry Ward Beecher",Speeches of George William Curtis and Henry Ward Beecher,"Curtis, George William 1824-1892|Beecher, Henry Ward 1813-1887|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association|National American Woman Suffrage Association Collection (Library of Congress)",,1898,biography,Women|Suffrage,,United States,,,,text,nyu|New York,The National-American Woman Suffrage Association,microfilm,"2 p.l., 90 p. ; 17 cm.","general: LC copy has annotations.|additional physical form: Also available in digital form on the Library of Congress Web site, and on microfilm (Microfilm 32064 JF).",https://www.loc.gov/item/14005853/,http://cdn.loc.gov/service/rbc/rbnawsa/n5853/001.gif
LoC,12029975/,Selected articles on woman suffrage,Woman suffrage,"Phelps, Edith M.|Stone, Lucy 1818-1893|National American Woman Suffrage Association Collection (Library of Congress)",This handbook contains a good debating outline and a bibliography to help students locate more materials on suffrage.,1912,bibliography,Women|Suffrage,,,,,,text,mnu|Minneapolis,The H.W. Wilson Company,print,"xxxvii, 162 p. ; 20 cm.",statement of responsibility: compiled by Edith M. Phelps.|bibliography: Bibliography: p. [xvii]-xxxvii.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/12029975/,http://cdn.loc.gov/service/rbc/rbnawsa/n9975/001.gif
LoC,15015726/,How it feels to be the husband of a suffragette,,"Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)",A humorous and highly entertaining account of suffrage written by a man married to a suffragist who is also a supporter of the woman suffrage movement.,[c1915]|1915,,Women|Suffrage,,,,,,text,nyu|New York,George H. Doran Company,print,63 p. : plates ; 20 cm.,statement of responsibility: by Him ; illustrations by May Wilson Preston.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/15015726/,http://cdn.loc.gov/service/rbc/rbnawsa/n5726/001.gif
LoC,15013348/,Are women people?: a book of rhymes for suffrage times,New York tribune,"Miller, Alice Duer 1874-1942|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","This is a collection of poetry concerning suffrage and women's rights, much of which was first published in the ""New York Times.""",[c1915]|1915,,Women|Suffrage,,,,,,text,nyu|New York,George H. Doran Company,print,"6 p.l., 11-94 p. ; 21 cm.",statement of responsibility: by Alice Duer Miller ...|general: Reprinted in part from the New York tribune.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/15013348/,http://cdn.loc.gov/service/rbc/rbnawsa/n3348/001.gif
LoC,17007468/,"The Woman suffrage year book, 1917",,"Stapler, Martha G.|Catt, Carrie Chapman 1859-1947|National American Woman Suffrage Association Collection (Library of Congress)","This book was originally produced for use by suffrage workers. It contains a lot of statistical information valuable for conducting a national suffrage campaign, such as a listing of the states and foreign nations in which either full or partial woman suffrage exists; a list of senators and representatives who both favor and oppose woman suffrage; and an analysis of various laws affecting women and children.",1917,,Women|Suffrage|Women|Suffrage,,United States,,,,text,"nyu|New York, N.Y","National Woman Suffrage Publishing Company, Inc.",print,"204 p. : front. (map), fold. tab. ; 23 cm.",general: Editor: Martha G. Stapler; articles on special subjects contributed by Mary Sumner Boyd.|bibliography: Contains bibliography.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/17007468/,http://cdn.loc.gov/service/rbc/rbnawsa/n7468/001.gif
LoC,88180024/,"The torch bearer: a look forward and back at the Woman's journal, the organ of the woman's movement",,"Ryan, Agnes E. 1878-1954|National American Woman Suffrage Association Collection (Library of Congress)","This pamphlet contains a history of the ""Woman's journal"" which was of the official publication of AWSA.",1916,,Women|Suffrage,,United States,"Woman's journal (Boston, Mass. : 1870)",,,text,"mau|Boston, Mass",Woman's Journal and Suffrage News,print,59 p. : ill. ; 23 cm.,statement of responsibility: by Agnes E. Ryan.|additional physical form: Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/88180024/,http://cdn.loc.gov/service/rbc/rbnawsa/n0024/001.gif
